Symbol,Company Name,Date-Start,Date-End,Sector,Delisting-Date
AVTA,Avantax Inc,2023-01-26,2023-11-27,Financial,2023-11-27
AVTI,Avitar Inc,1993-05-17,1995-09-08,Communication Services,2008-02-14
AVTMQ,Avteam Inc,,2001-03-23,,2001-03-23
AVV,Aviva Petroleum Inc,1994-11-14,1999-04-09,Energy,1999-04-08
AVVIY,Aviva PLC,,2016-12-22,Financial,2016-12-22
AVX,Avx Corp,1967-05-03,2020-03-27,Consumer Discretionary,2020-03-27
AVXS,Avexis Inc,2016-02-11,2018-05-14,Healthcare,2018-05-15
AVYAQ,Avaya Holdings Corp,,2023-02-14,Technology,2023-02-14
AVZAQ,Aviza Technology Inc,,2009-10-07,Technology,2009-10-07
AW,Allied Waste Industries Inc,1962-07-02,2008-12-05,Energy,2008-12-05
AWA,America West Holdings Corp,1994-09-21,2005-09-26,Communication Services,2005-09-26
AWBCQ,Americanwest Bancorporation,,2010-12-20,,2010-12-20
AWE,Att Wireless Services Inc,1962-07-02,2004-10-26,Communication Services,2004-10-26
AWEB,Autoweb Com Inc,1999-03-23,2001-08-14,Communication Services,2001-08-14
AWHHF,Allied World Assurance Co Holdings Ag,,2017-07-27,Financial,2017-07-27
AWHL,Aspira Women's Health Inc,,2025-04-16,Healthcare,2025-04-16
AWIN,Aerwins Technologies Inc,2002-05-30,2024-06-18,Industrials,2024-06-18
AWS,Alba Waldensian Inc,1969-11-25,1999-12-15,Technology,1999-12-15
AXAHY,Axa SA,,2010-04-01,Financial,2010-04-01
AXAS,Abraxas Petroleum Corp,1991-05-07,2021-08-03,Energy,2023-06-22
AXCA,Axcan Pharma Inc,2000-06-30,2008-02-25,Healthcare,2008-02-25
AXDXQ,Accelerate Diagnostics Inc,,2025-05-14,Healthcare,2025-05-14
AXE,Anixter International Inc,1967-08-03,2020-06-19,Utilities,2020-06-19
AXF,Axa Financial Inc,1999-09-07,2001-01-02,Financial,2001-01-02
AXHI,Industrial Human Capital Inc,,2022-11-10,Industrials,2022-11-10
AXHM,Axiohm Transaction Solutions Inc,1997-10-02,1999-10-22,,1999-10-22
AXIHQ,Axion International Holdings Inc,,2015-12-03,Materials,2015-12-03
AXLA,Axcella Health Inc,2019-05-09,2023-11-22,Healthcare,2023-11-22
AXLL,Axiall Corp,2013-01-29,2016-08-30,Energy,2016-08-30
AXM,Apex Mortgage Capital Inc,1997-12-04,2003-12-03,Financial,2003-12-02
AXMP,Axm Pharma Inc,,2015-02-25,Healthcare,2015-02-25
AXNT,Axent Technologies Inc,1996-04-24,2000-12-18,Technology,2000-12-18
AXNX,Axonics Inc,2018-10-31,2024-11-14,Healthcare,2024-11-14
AXO,Axos Financial Inc,1970-09-30,2007-11-05,Financial,2021-03-30
AXPH,Axys Pharmaceuticals Inc,1993-11-19,2001-11-16,Healthcare,2001-11-16
AXPWQ,Axion Power International Inc,,2016-10-05,Utilities,2016-10-05
AXSI,Axcess International Inc,1998-04-02,2002-09-23,Technology,2002-09-23
AXSO,Axs One Inc,,2009-07-02,Communication Services,2009-07-02
AXST,Axesstel Inc,,2016-06-14,Technology,2016-06-14
AXTC,Axtive Corp,,1999-07-15,,1999-07-15
AXU,Alexco Resource Corp,2007-09-20,2022-09-06,Materials,2022-09-06
AXXDF,Alderon Iron Ore Corp,,2015-10-23,Materials,2015-10-23
AXYS,Axsys Technologies Inc,1996-12-04,2009-09-02,Technology,2009-09-02
AY,Atlantica Sustainable Infrastructure PLC,2017-11-14,2024-12-11,Energy,2024-12-12
AYD,Aydin Corp,1975-04-09,1999-04-14,Healthcare,1999-04-14
AYE,Allegheny Energy Inc,1997-10-01,2011-02-25,Energy,2011-02-25
AYLA,Ayala Pharmaceuticals Inc,2020-05-08,2023-01-18,Healthcare,2023-01-18
AYR,Aircastle Ltd.,2006-08-08,2020-03-27,Industrials,2020-03-27
AYS,Acsys Inc,1999-09-07,2000-07-05,Technology,2000-07-05
AYX,Alteryx Inc,2017-03-24,2024-03-18,Technology,2024-03-18
AZA.A,Alza Corp,,2001-06-22,Healthcare,2001-06-22
AZC,Augusta Resource Corp,1994-04-15,2014-09-22,Materials,2014-09-22
AZEK,Azek Co Inc,2020-06-12,2024-12-31,Industrials,2025-06-30
AZIC,Arizona Instrument Corp,1987-03-06,2000-06-27,Materials,2000-06-27
AZK,Aurizon Mines Ltd.,2003-11-10,2013-05-31,Industrials,2013-06-03
AZPN,Aspen Technology Inc,1994-10-26,2024-12-31,Technology,2025-03-11
AZRE,Azure Power Global Ltd.,2016-10-12,2023-07-13,Utilities,2023-07-13
AZS,Arizona Star Resource Corp,2006-04-18,2008-03-13,Materials,2008-03-13
AZTC,Aztec Technology Partners Inc,1972-12-14,2001-05-11,Technology,2001-05-11
AZUL,Azul SA,,2025-05-29,Communication Services,2025-05-29
AZURQ,Azure Midstream Partners Lp,,2016-11-21,,2016-11-21
AZX,Azurix Corp,1999-06-10,2001-03-16,Utilities,2001-03-16
BAA,Banro Corp,2005-03-28,2017-12-21,Materials,2017-12-21
BAANF,Baan Co N V,1995-05-19,2000-10-06,Consumer Staples,2011-07-18
BACK,Imac Holdings Inc,1992-01-14,2024-12-31,Technology,2025-03-25
BAE,Bae Systems Canada Inc,1993-05-05,2001-04-19,Industrials,2001-04-18
BAGL,Einstein Noah Restaurant Group Inc,2007-06-08,2014-11-04,Consumer Discretionary,2014-11-04
BALTY,Baltimore Technologies PLC,,2001-09-28,Communication Services,2001-09-28
BALY.T,Bally's Corp,,2025-02-07,Communication Services,2025-02-07
BARE,Bare Escentuals Inc,1991-10-23,2010-03-12,Healthcare,2010-03-12
BARI,Bancorp Rhode Island Inc,1998-03-24,2011-12-30,Financial,2011-12-30
BARR,Barringer Technologies Inc,1972-12-14,2001-05-11,Financial,2001-05-11
BASE,Couchbase Inc,2021-07-22,2024-12-31,Technology,2025-09-24
BASEA,Base Ten Systems Inc,1980-12-09,2000-12-11,Utilities,2002-11-14
BASEB,Base Ten Systems Inc,1976-09-14,1998-05-01,Utilities,2002-10-11
BASXQ,Basic Energy Services Inc,,2021-08-27,Energy,2021-08-27
BATS,Bats Global Markets Inc,2016-04-15,2017-02-28,Financial,2017-02-28
BAU,Bacou Usa Inc,1998-07-23,2001-09-06,Healthcare,2001-09-06
BAXSQ,Baxano Surgical Inc,,2014-12-02,,2014-12-02
BAYB,Bay Bancshares Inc,1997-11-06,2001-03-30,Financial,2001-03-27
BAYRY,Bayer Aktiengesellschaft,,2007-09-28,Healthcare,2007-09-28
BBAO,Bombay Co Inc,,2007-12-14,Consumer Discretionary,2007-12-14
BBBB,Blackboard Inc,2004-06-18,2011-10-04,Technology,2011-10-04
BBBYQ,Bed Bath & Beyond Inc,,2023-05-02,Consumer Discretionary,2023-05-02
BBC.A,Bergen Brunswig Corp,,2001-08-29,Healthcare,2001-08-29
BBCZ,Bodisen Biotech Inc,,2015-05-19,Healthcare,2015-05-19
BBDA,Bank Of Bermuda Ltd.,2002-04-23,2004-02-17,Financial,2004-02-17
BBEPQ,Breitburn Energy Partners Lp,,2018-04-05,Real Estate,2018-04-05
BBG,Bill Barrett Corp,1996-10-04,1998-12-20,Energy,2018-03-19
BBHF,Barbers Hairstyling For Men & Women Inc,1994-08-16,1999-05-20,Materials,1999-05-20
BBIG,Vinco Ventures Inc,2020-11-12,2023-07-27,Communication Services,2023-07-27
BBL,Bhp Group PLC,1967-04-06,2022-01-28,Materials,2022-01-28
BBLKF,Britannia Bulk Holdings Inc,,2008-10-29,Consumer Discretionary,2008-10-29
BBLNF,Babylon Holdings Ltd.,,2023-06-28,Healthcare,2023-06-28
BBLUQ,Blue Earth Inc,,2016-08-01,Energy,2016-08-01
BBND,Bigband Networks Inc,2007-03-15,2011-11-21,Communication Services,2011-11-21
BBNK,Bridge Capital Holdings,1976-04-08,2015-06-30,Financial,2015-06-30
BBOX,Black Box Corp,1994-08-11,2019-01-04,Industrials,2019-01-07
BBQ,Bbq Holdings Inc,2019-09-17,2022-09-27,Consumer Discretionary,2022-09-27
BBQZ,Barbeques Galore Ltd.,1999-10-11,2005-10-26,Financial,2005-10-26
BBR,Butler Manufacturing Co.,1970-04-22,2004-04-27,Industrials,2004-04-27
BBRG,Bravo Brio Restaurant Group Inc,2010-10-21,2018-05-23,Consumer Discretionary,2018-05-23
BBSW,Broadbase Software Inc,1999-09-22,2001-06-28,Technology,2001-06-28
BBUCQ,Big Buck Brewery & Steakhouse Inc,,2021-08-27,Consumer Discretionary,2021-08-27
BCAM,Bcam International Inc,1990-01-17,1998-10-15,Healthcare,1998-10-15
BCAS,Broadcaster Inc,,2012-02-06,Communication Services,2012-02-06
BCEL,Atreca Inc,2019-06-20,2024-03-18,Healthcare,2024-03-18
BCGI,Boston Communications Group Inc,1996-06-18,2007-08-30,Communication Services,2007-08-30
BCHE,Biochem Pharma Inc,1997-07-10,2001-05-11,Healthcare,2001-05-11
BCICF,Bell Canada,1997-10-01,2003-12-31,Communication Services,2007-06-11
BCIS,Bancinsurance Corp,1990-09-12,2005-02-07,Financial,2010-12-27
BCLI,Brainstorm Cell Therapeutics Inc,2014-09-30,2024-12-31,Healthcare,2025-07-17
BCOMF,B Communications Ltd.,,2020-09-21,Communication Services,2020-09-21
BCONQ,Beacon Power Corp,,2016-07-18,Utilities,2016-07-18
BCOV,Brightcove Inc,2012-02-17,2024-12-31,Technology,2025-02-03
BCOW,1895 Bancorp Of Wisconsin Inc,2019-01-09,2024-12-31,Financial,2025-03-07
BCPUQ,Borden Chemicals & Plastics Limited Partnership,,2001-04-03,Materials,2001-04-03
BCR,Bard C R Inc,1968-09-30,2017-12-28,Healthcare,2017-12-28
BCRHF,Blue Capital Reinsurance Holdings Ltd.,,2021-08-27,Financial,2021-08-27
BCSB,Bcsb Bancorp Inc,1998-07-08,2014-02-14,,2014-02-13
BCSI,Blue Coat Systems Inc,1985-02-25,2012-02-15,Technology,2012-02-15
BCST,Broadcast International Inc,1998-07-17,1999-07-20,Communication Services,2014-08-04
BCTF,Bancorp 34 Inc,2016-10-12,2020-08-25,Financial,2021-08-12
BCTI,Bct International Inc,1995-02-15,2001-09-07,Communication Services,2003-12-02
BCYRA,Big City Radio Inc,,2005-05-24,Communication Services,2005-05-24
BDAY,Celebrate Express Inc,2004-10-20,2008-08-29,Consumer Discretionary,2008-08-29
BDBD,Boulder Brands Inc,2013-01-03,2016-01-15,Consumer Staples,2016-01-15
BDCO,Blue Dolphin Energy Co.,1990-04-10,2012-02-27,Energy,2012-02-28
BDG.A,Bandag Inc,,2007-05-31,Industrials,2007-05-31
BDGPA,Budget Group Inc,,2004-03-15,Communication Services,2004-03-15
BDI,Bayard Drilling Technologies Inc,1997-11-04,1999-04-07,Energy,1999-04-07
BDJI,First Federal Bancorporation,1995-04-04,2001-12-19,Financial,2003-11-13
BDK,Black & Decker Corp,1962-07-02,2010-03-12,Industrials,2010-03-12
BDLN,Brilliant Digital Entertainment Inc,,2009-05-20,Communication Services,2009-05-20
BDLSQ,Boundless Corp,,2003-03-12,Communication Services,2003-03-12
BDMS,Birner Dental Management Services Inc,1998-02-11,2016-05-25,,2019-01-14
BDRL,Blonder Tongue Laboratories Inc,,2022-06-24,Communication Services,2022-06-24
BDS,Bridgestreet Accommodations Inc,1998-11-30,2000-05-31,,2000-05-31
BDSI,Biodelivery Sciences International Inc,2002-07-25,2022-03-22,Healthcare,2022-03-22
BDSPY,Body Shop International PLC,,2003-10-13,Consumer Discretionary,2003-10-13
BDXA,Becton Dickinson & Co.,,2020-04-30,Healthcare,2020-04-30
BDXB,Becton Dickinson & Co.,,2023-05-31,Healthcare,2023-05-31
BDY,Bradley Pharmaceuticals Inc,1966-06-06,2008-02-21,Healthcare,2008-02-21
BEAR,Vermont Teddy Bear Co Inc,1986-05-22,2005-09-30,Consumer Discretionary,2005-09-30
BEAS,Bea Systems Inc,1997-04-11,2008-04-29,Technology,2008-04-28
BEAV,B/e Aerospace Inc,1990-04-24,2017-04-12,Industrials,2017-04-12
BEBE,Bebe Stores Inc,1998-06-17,2017-12-15,Consumer Discretionary,2018-02-27
BEC,Beckman Coulter Inc,1962-07-02,2011-06-29,Healthcare,2011-06-29
BECN,Beacon Roofing Supply Inc,2004-09-23,2024-12-31,Energy,2025-04-28
BED,Bedford Property Investors Inc,1985-01-25,2006-05-05,Real Estate,2006-05-04
BEE,Strategic Hotels & Resorts Inc,2004-06-24,2015-12-11,Consumer Discretionary,2015-12-11
BEEF,Western Beef Inc,1993-01-15,1999-12-22,Consumer Discretionary,1999-12-22
BEIQ,Bei Technologies Inc,1997-10-08,2005-10-05,Technology,2005-10-05
BEL,Belmond Ltd.,1970-05-01,2019-04-16,Consumer Discretionary,2019-04-16
BELM,Bell Microproducts Inc,1993-06-16,2010-07-06,Technology,2010-07-06
BEMC,Bergstrom Capital Corp,,2003-04-11,Financial,2003-04-11
BENGF,Benguet Corp,1988-09-01,1991-06-27,Materials,2000-06-09
BEQIF,Boardwalk Equities Inc,,2004-05-03,Real Estate,2004-05-03
BERK,Berkshire Bancorp Inc,1972-12-14,2013-11-27,Financial,2015-04-06
BERS,Beres Industries Inc,1986-07-24,1994-12-08,Technology,2003-11-05
BERW,Beringer Wine Estates Holdings Inc,1997-10-29,2000-10-02,Real Estate,2000-10-02
BERY,Berry Global Group Inc,2012-10-04,2024-12-31,Consumer Staples,2025-04-29
BEST,Best Inc,1972-12-14,2024-12-31,Consumer Discretionary,2025-03-07
BET,Bethlehem Corp,1962-09-04,2001-04-18,Materials,2001-04-18
BETMQ,American Wagering Inc,,2012-06-29,Energy,2012-06-29
BETSF,Bit Brother Ltd.,,2024-03-06,Communication Services,2024-03-06
BEV,Beverly Enterprises Inc,1969-03-13,2006-03-14,Communication Services,2006-03-13
BEVB,Beverly Bancorporation Inc,1996-08-22,1998-07-01,Financial,1998-07-01
BEXP,Brigham Exploration Co.,1997-05-09,2011-12-08,Energy,2011-12-08
BEZ,Baldor Electric Co.,1976-03-01,2011-01-27,Utilities,2011-01-27
BFAGY,Biofrontera Ag,,2022-03-04,Healthcare,2022-03-04
BFBC,Benjamin Franklin Bancorp Inc,2005-04-05,2009-04-09,Financial,2009-04-09
BFED,Beacon Federal Bancorp Inc,2007-10-02,2012-10-18,Financial,2012-10-18
BFEN,Bf Enterprises Inc,1988-04-28,2005-08-29,Healthcare,2005-08-29
BFFC,Big Foot Financial Corp,1996-12-20,2003-01-03,Financial,2003-01-03
BFICQ,Burgerfi International Inc,,2024-09-20,Consumer Discretionary,2024-09-20
BFNBQ,Beach First National Bancshares Inc,,2010-06-03,Financial,2010-06-03
BFOH,Bancfirst Ohio Corp,1993-04-30,2002-03-07,Financial,2002-03-07
BFPT,Brooks Fiber Properties Inc,1996-05-03,1998-01-29,Real Estate,1998-01-29
BFRM,Bioform Medical Inc,2007-11-07,2010-02-19,Healthcare,2010-02-19
BFSB,Brooklyn Federal Bancorp Inc,1987-03-26,2012-01-06,Financial,2012-01-06
BFSC,Bingham Financial Services Corp,1998-05-08,2002-05-21,Financial,2003-12-31
BFTH,Bally Total Fitness Corp,,2008-03-31,Industrials,2008-03-31
BFUN,Bam Entertainment Inc,2001-11-15,2004-10-14,Communication Services,2006-01-19
BFXXQ,Bowflex Inc,,2024-03-04,Consumer Discretionary,2024-03-04
BFYT,Benefytt Technologies Inc,2020-03-06,2020-08-20,Healthcare,2020-08-20
BGA.B,Banco Ganadero SA,,2001-04-05,Financial,2001-04-05
BGALY,Bank Of Galicia & Buenos Aires S A,1993-06-11,2000-07-28,Financial,2000-07-28
BGCA,Bgc Group Inc,,2018-08-27,Financial,2018-08-27
BGEN,Biogen Inc,1988-07-01,2003-11-12,Healthcare,2003-11-12
BGF,Big Flower Holdings Inc,1995-11-22,1999-12-07,Technology,1999-12-07
BGFV,Big 5 Sporting Goods Corp,2002-06-25,2024-12-31,Consumer Discretionary,2025-10-01
BGGSQ,Briggs & Stratton Corp,,2021-01-06,Technology,2021-01-06
BGLS,Manhattan Bagel Co Inc,1994-06-16,1998-11-25,Consumer Discretionary,1998-11-25
BGMD,Bg Medicine Inc,2011-02-04,2015-09-15,Healthcare,2021-08-27
BGMR,Bigmar Inc,1996-06-20,2000-10-05,,2000-10-05
BGO,Bema Gold Corp,1966-08-15,2007-02-27,Materials,2007-02-27
BGPIQ,Borders Group Inc,,2012-01-12,Consumer Discretionary,2012-01-12
BGPTQ,Bearingpoint Inc,,2009-12-30,Technology,2009-12-30
BGRH,Berger Holdings Ltd.,1993-10-18,2003-11-25,Industrials,2003-11-25
BGRY,Berkshire Grey Inc,2021-07-22,2023-07-19,Consumer Discretionary,2023-07-19
BGST,Bigstar Entertainment Inc,1999-08-03,2001-01-16,Communication Services,2005-09-01
BGXXQ,Bright Green Corp,,2024-09-18,Industrials,2024-09-18
BGYNY,British Energy Group PLC,,2003-03-17,Energy,2003-03-17
BHAG,Bha Group Inc,1986-11-06,2004-08-31,Industrials,2004-08-31
BHBCQ,Beverly Hills Bancorp Inc,,2011-09-12,Financial,2011-09-12
BHBK,Blue Hills Bancorp Inc,2014-07-22,2019-03-29,Financial,2019-03-29
BHC.A,Bhc Communications Inc,,2001-07-30,Communication Services,2001-07-30
BHI,Baker Hughes Inc,1981-12-15,2017-07-04,Energy,2017-07-03
BHILQ,Benson Hill Inc,,2025-03-26,Consumer Staples,2025-03-26
BHMSQ,Bethlehem Steel Corp,,2004-01-05,Materials,2004-01-05
BHODQ,B Plus H Ocean Carriers Ltd.,,2013-04-29,Energy,2013-04-29
BHQU,Brake Headquarters U S A Inc,1996-06-06,1999-03-17,Consumer Discretionary,1999-03-17
BHS,Brookfield Homes Corp,1970-08-28,2011-03-31,Financial,2011-03-30
BHWK,Black Hawk Gaming & Development Co Inc,1993-05-13,2002-02-22,Communication Services,2002-02-22
BIAC,Bi Inc,1983-05-16,2000-10-06,Technology,2000-10-05
BID,Sothebys,1988-05-13,2019-10-02,Financial,2019-10-02
BIDZ,Bidzcom Inc,2007-06-06,2012-11-12,,2012-11-26
BIGCQ,Big City Bagels Inc,,1999-03-11,Consumer Discretionary,1999-03-11
BIGGQ,Big Lots Inc,,2024-09-09,Consumer Discretionary,2024-09-09
BIGX,Excelsior Henderson Motorcycle Manufacturing Co.,1997-07-24,1999-12-20,Industrials,1999-12-20
BIKEQ,Cannondale Corp,,2008-12-31,Industrials,2008-12-31
BIMC,Biomune Systems Inc,,2000-11-27,,2000-11-27
BIMI,Bimi Holdings Inc,2019-02-08,2024-08-21,Financial,2024-08-28
BIN,Progressive Waste Solutions Ltd.,1972-07-06,2016-05-31,Energy,2016-05-31
BINDQ,Bind Therapeutics Inc,,2016-10-10,Healthcare,2016-10-10
BINI,Bollinger Innovations Inc,1991-03-25,1993-02-19,Industrials,2025-10-10
BINX,Bionx Implants Inc,1997-04-25,2003-03-10,Industrials,2003-03-10
BIOAQ,Bioamber Inc,,2018-05-11,Healthcare,2018-05-11
BIOCQ,Biocept Inc,,2023-10-24,,2023-10-24
BIOI,Biosource International Inc,1993-05-21,2005-10-05,Healthcare,2005-10-05
BIOL,Biolase Inc,2012-05-29,2024-06-18,Healthcare,2024-06-18
BIOR,Biora Therapeutics Inc,1972-12-14,2024-12-10,Healthcare,2024-12-10
BIORY,Biora Ab,1997-02-04,2002-01-31,Industrials,2002-01-31
BIOV,Bioveris Corp,2004-02-17,2007-06-26,Healthcare,2007-06-26
BIQIF,Biqi International Holdings Corp,,2019-07-09,,2019-07-09
BIR,Birmingham Steel Corp,1962-07-02,2001-11-19,Materials,2001-11-19
BIRT,Actuate Corp,1972-12-14,2015-01-15,Technology,2015-01-15
BISA,Baltic International Usa Inc,1994-06-27,1998-09-08,Communication Services,2001-07-02
BISD,Biscayne Apparel Inc,,1998-11-27,Consumer Discretionary,1998-11-27
BITA,Bitauto Holdings Ltd.,2010-11-17,2020-11-04,Utilities,2020-11-02
BIVN,Bioenvision Inc,2004-08-20,2007-10-23,Healthcare,2007-10-22
BIVV,Bioverativ Inc,2017-02-02,2018-03-08,Healthcare,2018-03-08
BIW,Biw Ltd.,1962-07-02,2008-01-16,Technology,2008-01-16
BJCT,Bioject Medical Technologies Inc,1992-12-17,2008-07-22,Healthcare,2016-03-24
BJGP,Bmp Sunstone Corp,2006-08-10,2011-02-24,Healthcare,2011-02-24
BJICA,Ben & Jerrys Homemade Inc,1987-07-24,2000-08-03,Communication Services,2000-08-03
BJS,Bj Services Co.,1990-07-20,2010-04-28,Energy,2010-04-28
BKB,Bankboston Corp,1983-04-04,1999-09-30,Financial,1999-09-30
BKBK,Britton & Koontz Capital Corp,1996-10-17,2012-07-09,,2014-02-14
BKCC,Blackrock Capital Investment Corp,2007-06-27,2024-03-18,Financial,2024-03-18
BKDT,Brookdale Senior Living Inc,,2025-03-28,Financial,2025-03-28
BKEP,Blueknight Energy Partners Lp,2011-05-16,2022-08-17,Energy,2022-08-17
BKFG,Bkf Capital Group Inc,,2015-05-14,Financial,2015-05-14
BKFR,Bankfirst Corp,1972-12-14,2000-12-27,Financial,2000-12-27
BKGM,Bankguam Holding Co.,,2022-10-24,Financial,2022-10-24
BKHU,Black Hills Corp,,2018-10-31,Utilities,2018-10-31
BKI,Black Knight Inc,1962-07-02,2023-09-01,Financial,2023-09-01
BKJ,Bancorp Of New Jersey Inc,2008-06-03,2019-12-31,Financial,2019-12-31
BKMU,Bank Mutual Corp,2000-11-02,2018-01-31,Financial,2018-01-31
BKNW,Bank Of The Northwest,2001-04-24,2002-11-13,Financial,2002-11-07
BKRSQ,Bakers Footwear Group Inc,,2012-12-24,Consumer Discretionary,2012-12-24
BKS,Barnes & Noble Inc,1962-07-02,2019-08-06,Consumer Discretionary,2019-08-06
BKSC,Bank Of South Carolina Corp,1986-10-23,2023-09-14,Financial,2023-09-14
BKST,Brookstone Inc,1986-07-30,2005-10-04,Consumer Discretionary,2005-10-04
BKTC,Booktech Com Inc,,2001-11-07,,2001-11-07
BKUNQ,Bankunited Financial Corp,,2011-06-23,Financial,2011-06-23
BKW,Burger King Worldwide Inc,2012-06-20,2014-12-12,Consumer Discretionary,2014-12-12
BKYF,Bank Of Kentucky Financial Corp,2008-11-24,2015-06-19,Financial,2015-06-19
BLC,Belo Corp,1983-11-15,2013-12-23,Communication Services,2013-12-20
BLCI,Brookdale Living Communities Inc,1997-05-02,2000-09-13,Financial,2000-09-13
BLCM,Bellicum Pharmaceuticals Inc,2014-12-18,2023-06-01,Healthcare,2023-06-02
BLCT,Bluecity Holdings Ltd.,2020-07-08,2022-08-12,Communication Services,2022-08-12
BLEEQ,Bradlees Inc,,2000-12-22,Consumer Discretionary,2000-12-22
BLEU,Bleuacacia Ltd.,2022-01-10,2024-11-22,,2024-11-22
BLHI,Blue Holdings Inc,,2008-11-13,Consumer Staples,2008-11-13
BLIAQ,Blockbuster Inc,,2019-11-15,Communication Services,2019-11-15
BLIBQ,Blockbuster Inc,,2011-11-16,Communication Services,2011-11-16
BLM,Blimpie International Inc,1988-02-02,2002-01-24,Consumer Discretionary,2002-01-24
BLMT,Bsb Bancorp Inc,1972-12-14,2019-03-29,Financial,2019-03-29
BLOCA,Block Drug Co Inc,1972-12-14,2001-01-18,Healthcare,2001-01-18
BLOG,Bladelogic Inc,2007-07-25,2008-04-18,Technology,2008-04-18
BLPH,Bellerophon Therapeutics Inc,2015-02-13,2023-10-13,Healthcare,2023-10-13
BLS,Bellsouth Corp,1962-07-02,2006-12-29,Technology,2006-12-29
BLSC,Bio Logic Systems Corp,1983-06-07,2006-01-04,Technology,2006-01-04
BLT,Blount International Inc,1972-07-17,2016-04-11,Industrials,2016-04-11
BLT.B,Blount International Inc,,1999-08-18,Industrials,1999-08-18
BLU,Bellus Health Inc,1987-04-15,2023-06-28,Healthcare,2023-06-28
BLUD,Immucor Inc,1985-12-19,2011-08-18,Communication Services,2011-08-18
BLUE,Bluebird Bio Inc,1972-12-14,2024-12-31,Healthcare,2025-05-30
BLWT,Blowout Entertainment Inc,1996-11-25,1998-11-19,Communication Services,1998-11-19
BLZN,Blue Zone Inc,2000-07-10,2001-08-07,Technology,2001-08-07
BMAN,Birman Managed Care Inc,1997-02-12,1999-10-28,Healthcare,1999-10-28
BMC,Bmc Software Inc,1965-06-21,2013-09-10,Technology,2013-09-10
BMCH,Bmc Stock Holdings Inc,2016-06-06,2020-12-31,Industrials,2020-12-31
BMET,Biomet Inc,1982-12-17,2007-09-25,Healthcare,2007-09-25
BMGCA,Battle Mountain Gold Co.,,2001-01-10,Materials,2001-01-10
BMMI,Bmc Industries Inc,,2004-06-22,Industrials,2004-06-22
BMP,Ballard Medical Products,1987-10-19,1999-09-23,Healthcare,1999-09-23
BMRQ,Benchmarq Microelectronics Inc,1995-12-01,1998-07-31,,1998-07-31
BMS,Bemis Co Inc,1966-09-13,2019-06-10,Healthcare,2019-06-10
BMTC,Bryn Mawr Bank Corp,1985-08-02,2021-12-31,Financial,2021-12-31
BMTI,Biomimetic Therapeutics Inc,1990-08-02,2013-02-28,Healthcare,2013-02-28
BMTM,Bright Mountain Media Inc,,2021-11-30,Communication Services,2021-11-30
BMTR,Bonded Motors Inc,1996-04-02,2000-04-03,Energy,2000-04-03
BMTX,Bm Technologies Inc,2021-01-06,2024-12-31,Technology,2025-01-31
BNAUF,Battle North Gold Corp,,2021-05-20,Materials,2021-05-20
BNBC,Broad National Bancorporation,1988-06-02,1999-07-30,Financial,1999-07-28
BNBN,Barnesandnoble Com Inc,1999-05-25,2004-05-27,Consumer Discretionary,2004-05-27
BNCC,Bnccorp Inc,1995-07-13,2008-01-28,Financial,2008-01-25
BNCL,Beneficial Bancorp Inc,2007-07-16,2019-02-28,Financial,2019-02-28
BNCN,Bnc Bancorp,2003-08-01,2017-06-15,Financial,2017-06-15
BNFT,Benefitfocus Inc,2013-09-18,2023-01-23,Healthcare,2023-01-23
BNHN,Benihana Inc,1983-05-11,2012-08-21,Consumer Discretionary,2012-08-21
BNHNA,Benihana Inc,1987-07-15,2011-11-29,Consumer Discretionary,2011-11-29
BNI,Burlington Northern Santa Fe Corp,1970-03-03,2010-02-12,Industrials,2010-02-12
BNK,C1 Financial Inc,1962-07-02,2016-07-21,Financial,2016-07-21
BNNX,Bankscom Inc,,2012-07-02,Financial,2012-07-02
BNNY,Annie's Inc,2012-03-28,2014-10-20,Consumer Staples,2014-10-20
BNP,Bnp Residential Properties Inc,1971-11-05,2007-02-28,Real Estate,2007-02-28
BNRE.A,Brookfield Wealth Solutions Ltd.,,2024-08-29,Financial,2024-08-29
BNSC,Bank Of Santa Clara,1997-01-17,2000-07-21,Financial,2000-07-21
BNSOF,Bonso Electronics International Inc,1989-06-27,1999-04-26,,2023-06-30
BNSSA,Bns Holding Inc,,2012-06-19,Industrials,2012-06-19
BNTT,Barnett Inc,1996-03-29,2000-09-29,Energy,2000-09-29
BNV,Beverly National Corp,1997-11-24,2009-10-30,Real Estate,2009-10-30
BNV.B,Benckiser Nv,,1999-12-30,Consumer Staples,1999-12-30
BNVIQ,Bionovo Inc,,2012-11-06,Healthcare,2012-11-06
BOA,Bush Boake Allen Inc,1994-05-12,2000-11-03,Industrials,2000-11-03
BOALY,Boral Ltd.,,2000-02-17,Industrials,2000-02-17
BOBE,Bob Evans Farms Inc,1972-12-14,2018-01-11,Consumer Discretionary,2018-01-11
BOBJY,Business Objects SA,1994-09-23,1999-03-18,Technology,2008-02-05
BOBS,Brazil Fast Food Corp,1996-05-06,2002-03-08,Consumer Staples,2015-05-05
BOCA,Banc Of California Inc,1988-08-15,1993-01-13,Financial,2016-03-10
BOCB,Buffets Inc,1985-10-25,2000-10-02,Consumer Staples,2000-10-02
BOCH,Bank Of Commerce Holdings,2004-06-15,2021-09-30,Financial,2021-09-30
BOFLQ,Bank Of Florida Corp,,2011-06-30,Financial,2011-06-30
